cust_id,Classificação Atual,deals group on wpp?,STATUS,LINK_OK
1156678,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/DPhMOhEaNGHGQ0zX6HKzbw
1156678,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/LhEesLBny7XGu7XOrPOSq6
3573775,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/B74jYLXhWTwJtf9mnGWsIX
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/BlTkcObNkq5EmBPFVb78Mv
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/D2bmqI22nH555DlWj7aM3K
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/GmI26OQ0F5i9LD8MXFa0L4
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/IJRkxJnn0m92UrjuSlYdQA
4621837,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/JbwgPy85SHPE8OwRXMyVqe
6454024,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/FSFrucHSylmCoY6RrYP9DA
8467064,Bronze,Tem grupo,Canal,https://www.whatsapp.com/channel/0029VbBdHaXDDmFOwpEd5u0f
19468151,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/CSrJoCiWmbO7iynIOv6GgT
19468151,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/D9gOSSw2qwJLEReaXBNklY
19468151,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/E4hF8QbcKen6PTAIttYP2t
19468151,Silver,Tem grupo,Grupo,https://chat.whatsapp.com/FX5vpiY6EYeFzI2AZR5tal
30107921,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/KNG2idz9p0A7HhgKxDhj5E
44352982,Gold,Tem grupo,Canal,https://www.whatsapp.com/channel/0029Vb6EHc1KmCPTwxvrbT10
45185619,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/HqjX04hPBuc5VzeJvLVJwY
47190880,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5
47897711,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim
47897711,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/GgbR17qZjzdHsc2IkgU7lJ
47897711,Bronze,Tem grupo,Grupo,https://chat.whatsapp.com/HXvXr90j74m113p6emEmPa
