cust_id;Classificação Atual;deals group on wpp?;STATUS;LINK_OK
1856859073;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029VavQ9i68aKvEJa01Si0s
83215915;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029Va7jECnCcW4tZ15e8v1v
1426600144;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029Va8GkBr5fM5iaPVX0c28
1297399555;KAM - top 1000;Sim;CANAL;https://whatsapp.com/channel/0029Vakbd7m3rZZiNBpvhU0y
1297399555;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029Vakbd7m3rZZiNBpvhU0y?fbclid=PAZXh0bgNhZW0CMTEAAadRoFB1lGAiKESfwQlUJ-m2t_FwLtzk8szwtEZ0J5GfO1O0VR1aebkj5ZyIEA_aem_9x5FgWZ-VHWgJMEkL7G7GA
1450808630;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029Vb6utoYFXUuZXnzl5619
1114585317;KAM - ouro;Sim;CANAL;https://www.whatsapp.com/channel/0029VbBJP9aDzgTBmNHBd62p?
1114585317;KAM - ouro;Sim;CANAL;https://www.whatsapp.com/channel/0029VbBJP9aDzgTBmNHBd62p?fbclid=PAZXh0bgNhZW0CMTEAAae32tBkLXNaDzwchmglVLXLDmLa4onLEK6UMw4op25Tx7lTcIryD6JcBRv1UA_aem_AznNWot3JZd5_PmBAUTuNg
2046114897;KAM - top 1000;Sim;CANAL; https://whatsapp.com/channel/0029Vb6bjUFHbFV8WSh7Yy2c
1424070748;KAM - ouro;Sim;CANAL;https://whatsapp.com/channel/0029VbBZEOzCcW4qg3agqr1H
1424070748;KAM - ouro;Sim;CANAL;https://www.whatsapp.com/channel/0029VbBZEOzCcW4qg3agqr1H?fbclid=PAZXh0bgNhZW0CMTEAAaeFiwUajifNZ5lSJ33qtqW4O3Ed3OmDUMpe2eW_DFVvenI4Etq-XlhfzEdDcw_aem_5DOqV2dx_s7qAWbX99agvw
1473563772;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029Vb6pG2SLI8YRMFfFFT2e
1064692687;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029VafAapsLikgF9NOsIC0w?fbclid=PAZXh0bgNhZW0CMTEAAaeRVDEDPORicafDtQDbw-3H1wz5rA2EGwGSSGR9xVN2RYOMDh_cO6KdLP9z-Q_aem_MjGKgG0GAwr96MTWxSKodQ
1751948527;MElIpro;Sim;CANAL;https://www.whatsapp.com/channel/0029VbB6mjdGJP8NfREt291s?fbclid=PAZXh0bgNhZW0CMTEAAacUrIUAu80gM-L8IdPImGEN2xiNxF4tMLxdbvRw1e4cHVc_Q6Tgj--LQvCf4w_aem_ro_CqntEy4TIzns9BUHkXg
158469611;MElIpro;Sim;CANAL;https://whatsapp.com/channel/0029Vb6uRsq3LdQMt8FL2X0k
2351478061;KAM - top 1000;Sim;CANAL;https://www.whatsapp.com/channel/0029VajMO5Y4Crfd9sUv321p
2482396402;MElIpro;Sim;CANAL;https://www.whatsapp.com/channel/0029VaxisiOHrDZePvFoqk16
