cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
132598358,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HD3hBHCntvUCYL109WfhJH,Grupo,processed,120363399506805862@g.us
1369622787,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IDhYoLEzlw1Bs9NocQQB4u,Grupo,processed,120363315890635206@g.us
229837054,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/D6eBFtbGbNW382vxea0zio,Grupo,processed,120363255308049173@g.us
1813105314,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FFBssTAsJUe5S1fdCPjfjU,Grupo,processed,120363374069243700@g.us
1478707361,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GANhutgr55J95N65Xb6Lk3,Grupo,processed,120363417479677927@g.us
226046758,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JMfX31vfU1BBh6cf7R0Uqo,Grupo,processed,120363399844906080@g.us
269721398,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FKCP03nC7DLKYr1sonRws9,Grupo,processed,120363389602050961@g.us
379432988,Confirmado,KAM - top 1000,Sim,"http://chat.whatsapp.com/FuRrPRMeses2RqaTpBagwf
https://chat.whatsapp.com/LiJjq9uEt07Hf6EXIc4LQp",Grupo,processed,120363419852689903@g.us
1433463620,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Kda7wlfxzOj08vWSm42jip,Grupo,processed,120363045837421025@g.us
1536298884,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HWIR8cXLwCf4MelCkHpGz3,Grupo,processed,120363052401558929@g.us
269337304,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HiAZjhqm6DQFLfIkcwhqru,Grupo,processed,555496749400-1623017491@g.us
618183409,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JUkT4DzEq8E2qKDq8gUQNV,Grupo,processed,120363418615142188@g.us
79019768,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CMPA3hBbXmSBg7aEoHcdAc,Grupo,processed,120363422251666745@g.us
1465247461,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HXoaeZGoCA1Bdp7Gs4VIkq,Grupo,processed,553195230021-1567034447@g.us
205028015,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Fspc3uykwrOKs5wDwPvsSW,Grupo,processed,553498946400-1628023390@g.us
1381583566,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DXBvkZJkQLdBQpxymvWKSG,Grupo,processed,120363027468121202@g.us
83966270,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JD7FxqCc7lC71BZ6PgsuTy,Grupo,processed,120363399236042514@g.us
490589317,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BphOj310T5a9h7yZ3I9a8l,Grupo,processed,120363401663969369@g.us
1439548649,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/J2sN803vT9cCnfPNtWYmhM,Grupo,processed,5516991076656-1507597082@g.us
1485911737,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IyJYqH1gXxAJ3IDAd6GBrf,Grupo,processed,120363161708340515@g.us
448250295,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GbdkHTyBqRm9zeMfi4sqfB,Grupo,processed,120363240039368305@g.us
1422595957,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LFxnhypmd5BDGFgneCPrkE,Grupo,processed,557592438834-1604916407@g.us
807123036,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BJK04Bp8B0TBWJDs73DNxc,Grupo,processed,120363115454849947@g.us
1539409111,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KXGSBZpRWnc5c66bbkNL1b,Grupo,processed,120363299458437089@g.us
530861291,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EzsDwzVMrKiHt0xXqPPoRJ,Grupo,processed,120363042852663318@g.us
221861528,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IMOcURMw4WtDUkLzbidJI8,Grupo,processed,120363334175814779@g.us
1217794331,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Chcg5YTJDdRIgDNycwYBx0,Grupo,processed,120363346159033547@g.us
2200130866,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Lqua75hMObP5wXwKCyiq7o,Grupo,processed,120363421848512023@g.us
49674458,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/D5Si0eBiQZj9DZaRSJDgrA,Grupo,processed,120363268951341273@g.us
103699751,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KUZStrTHW8n6ITKXFfcCeL,Grupo,processed,120363422953295282@g.us
1391252882,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Ej9Le27nnVJFwMi7HsDgkt,Grupo,processed,120363422835195272@g.us
1173888746,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KWqUZWZVI6WENZyd4UPWvi,Grupo,processed,120363021137916596@g.us
340577258,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Kj9hC3NiBT77LkygW7nPiX,Grupo,processed,120363400583143688@g.us
47190880,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,Grupo,processed,120363339148867926@g.us
600049604,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IiCMiBV6jR5HbYdFh1fAp1,Grupo,processed,120363418317530167@g.us
301138223,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HBvVODelAE210I8mQbpZxF,Grupo,processed,120363421173071319@g.us
1690741909,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FPAfltA8alqBFThYVQZV2o,Grupo,processed,120363402054165154@g.us
1062207010,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/K6fDMEvCuIpCjwGRpMsxIV,Grupo,processed,120363338201617945@g.us
277875863,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CTjtI84fLp2Kio1vl9qPSQ,Grupo,processed,120363418966938721@g.us
186778702,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/L4LNpfPZUqH05ouyae0Yri,Grupo,processed,120363203099815703@g.us
514386663,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/El2R6H8UEU90utKzg0M9eB,Grupo,processed,120363038392307215@g.us
178031903,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GXzxLoVvmxz0udKGWn1ENL,Grupo,processed,120363418973067820@g.us
565785079,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EY60g2bvKUQ3vTw7m8p51y,Grupo,processed,120363392372204294@g.us
105244951,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/G8aLNHaHaOHAtAi6oBoEbx,Grupo,processed,120363418307767899@g.us
593029712,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LAbSIcCGmwx9PCTscLT39s,Grupo,processed,120363423507395641@g.us
526807890,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LPyuTee5x46DumQfzur4BB,Grupo,processed,120363419320417112@g.us
508791975,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/I082dejhGUl6Hii1TUdzN2,Grupo,processed,120363024939673808@g.us
163733884,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CxuUhB4Rw2KC7MWHnm8cBo,Grupo,processed,120363412367655025@g.us
450512131,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HHGjJ39EGjP1E3Xvcyo287,Grupo,processed,120363374978952930@g.us
183117136,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/L2jFzuhDn6KFSJC9LcQcuU,Grupo,processed,120363375274156165@g.us
659377853,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Frx0bqhRtxb9gDELL5tS1T,Grupo,processed,120363409693174877@g.us
190304867,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IiRsOuBEKu20Ad55TK6oQo,Grupo,processed,120363044276358097@g.us
1946020572,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HZyuiMiv4uQ2FO3LsGhUGJ,Grupo,processed,120363211822083052@g.us
2428615837,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/B7uIXxna6lhJNEGNYLoiXb,Grupo,processed,120363345347123184@g.us
80016581,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/GnRAjCdII8D9ySCr2UMUBQ,Grupo,processed,120363419173236822@g.us
303120592,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/BehJuWtRQk30H2wXFFd9HU,Grupo,processed,120363149769059495@g.us
799601634,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/GcFEsEGhAywB0Bp1wtpfrH,Grupo,processed,120363416000560375@g.us
1063208859,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/HUIQoCtX7af4mhEE7bEIhw,Grupo,processed,120363413515811889@g.us
1351369312,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/C98f1fCpVK2B3QLwXYwACQ,Grupo,processed,558199606955-1626546179@g.us
1428326558,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/BgdoWxdm0RWKZVQDrhVTk8,Grupo,processed,120363399351949538@g.us
1708497699,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/CMVGchoOo6M2zQvyEOVDTB,Grupo,processed,120363386279766722@g.us
2015935202,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/KUt7ZbJHpzrLYmx5466J0b,Grupo,processed,120363419447280501@g.us
203572971,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Eof5Zg0DLAsGzmdwnAYjfQ,Grupo,processed,120363194368630513@g.us
325501300,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/FlfVPkFf2uAFzudRwd7gAf,Grupo,processed,120363422438577046@g.us
1495326565,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/LS4ZZQNWUUVA81RB6MeNmA,Grupo,processed,120363026480031823@g.us
228286832,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/FdJv2P0HUQLGUXxtpngfea,Grupo,processed,120363398603337247@g.us
2531061357,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/HeJj2WYIZzuIuXVaVilqRk,Grupo,processed,120363420720054769@g.us
2074482467,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/LJFpLm3sYXk2rQo3xyicaW,Grupo,processed,120363345172019197@g.us
1455578640,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/C01isq9mnR221IfcANxzjs,Grupo,processed,120363381574483793@g.us
1434769455,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Jyv4N0Jc1ILLkveNMpZ81i,Grupo,processed,120363143707072974@g.us
264616806,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Gz4jmOCoP7FIKn3LrDvMzd,Grupo,processed,120363399370982561@g.us
1080122761,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Gu55Qpt3baS0ETcRirO33M,Grupo,processed,120363359675161184@g.us
1106563292,Confirmado,MElIpro,Sim,https://chat.whatsapp.com/Kgw6HiTuPAeDDfIsotIrln,Grupo,processed,120363400217012012@g.us
