aff_id,class_atual,tipo_link,link,id_api,grupo
2051821320,MElIpro,GRUPO,https://chat.whatsapp.com/FEP0VTDFUr87bIxhQHMzUn,120363259849668352@g.us,#1 Achadinhos da Dona Cegonha
173167047,KAM - top 1000,GRUPO,https://chat.whatsapp.com/HZyuiMiv4uQ2FO3LsGhUGJ,120363211822083052@g.us,#103 ACHADOS DA TAMY 
5399188,KAM - top 1000,GRUPO,https://chat.whatsapp.com/FzoBRhQjSBR8qAaYXWbBWx,,
1676657192,MElIpro,GRUPO,https://chat.whatsapp.com/HByXpAYMbzP8TkQrfp5PTS,120363349640197468@g.us,#2 PROMOÇÃO DO DIA | Achados da Isa 🚨
287197163,KAM - top 1000,GRUPO,https://chat.whatsapp.com/EFKnGyxcmb43wn8JP4oK3k,120363304479657290@g.us,"#30 Achadinhos SHOPEE, SHEIN , MAGALU, MERCADO LIVRE.🥰"
227193849,MElIpro,GRUPO,https://chat.whatsapp.com/K9xfwQ5iRbkKtQQYXUznbx,120363303356244825@g.us,"#31 Promos de Moda, Beleza e Cupons! - Promoções do Amor!"
136382088,MElIpro,GRUPO,https://chat.whatsapp.com/H9dxNyPzbWSLGTqbp2ov2A,120363420198587286@g.us,#35 Grupo de Ofertas 
1428402957,KAM - top 1000,GRUPO,https://chat.whatsapp.com/Itr0HHBK6I7Gwt1oJ7FyUy,120363164673960479@g.us,#37 🛍💰Achadinhosdepromo💛
2592935944,MElIpro,GRUPO,https://chat.whatsapp.com/IHoI86Hr37ZLLJDccekBPy,120363300770580053@g.us,#5 Achadinhos Casa e Decoração
136551174,KAM - top 1000,GRUPO,https://chat.whatsapp.com/KTmWGkMPgymIZSlUxvK2D3,120363357316589084@g.us,#5 PROMO ENXOVAL MINIMALISTA 🖤
271356022,MElIpro,GRUPO,https://chat.whatsapp.com/F5owyoPYzL1HzUSlfMjtml,120363369774997231@g.us,#5 PROMOÇÕES E DESCONTOS 🛍️🤑
1512186857,MElIpro,GRUPO,https://chat.whatsapp.com/Lwj77WPLRUR6DaBKjCxino,120363404464469617@g.us,#6 PROMOS DO DIA ✨🛍
49721139,MElIpro,GRUPO,https://chat.whatsapp.com/DK2ip7TlaZ882CBoBXCY7T,120363417466781404@g.us,"#7 grupo - Bem-vinda ao universo feminino 💄- Vestindo bem, pagando pouco 🛍️💝🔗"
4621837,KAM - top 1000,GRUPO,https://chat.whatsapp.com/D3gyYuH0Y0q82aNWRXdQ6i,120363402704307025@g.us,@achadinhoscomcarol 🛍️ 14
202376152,MElIpro,GRUPO,https://chat.whatsapp.com/I0v0WwVeEGe3kq7HlMmM70,120363398549946589@g.us,@ComprinhasAmiga #05✨
1799164964,KAM - top 1000,GRUPO,https://chat.whatsapp.com/FhGAAsVS7LDIUWw6lvxzut,120363403464946445@g.us,@Promoanabeltran 37 💖 Beleza
361899717,MElIpro,GRUPO,https://chat.whatsapp.com/Di2M5HFd6uj7eh7q8CXj96,554497558297-1607954318@g.us,@Promosdadaii 🛍️#4
231841011,KAM - top 1000,GRUPO,https://chat.whatsapp.com/GMlz11599YTLP3ui9VWgXn,120363025523984059@g.us,@thatynhapromo 5
76331531,KAM - ouro,GRUPO,https://chat.whatsapp.com/LRjdSDkp9jd6OOLSCwY5Qm ,,
107916024,KAM - top 1000,GRUPO,https://chat.whatsapp.com/DxZvHGHttCaD6JyJDH909k,120363423620703537@g.us,[JTECH] Promoções Gamer #102
317818364,KAM - top 1000,GRUPO,https://chat.whatsapp.com/KEXRU3sjoBu4782by95BnV,120363400097540150@g.us,✨ Cantinho das Promos PV 7 🛍️
768924215,KAM - top 1000,GRUPO,https://chat.whatsapp.com/J1D6HRAuIx62u62O3QWn8e,120363313981293549@g.us,✨️ PROMOS DA TAMI #4
287029678,KAM - top 1000,GRUPO,https://chat.whatsapp.com/JR9FChkNN4m90N5qGyDFzV,120363337798994308@g.us,✨Cacei e Achei Promos #13
56815198,MElIpro,GRUPO,https://chat.whatsapp.com/JJc73JmdCbXKIoj6WrjfwP,555197590316-1569254347@g.us,⚜ SUPER PROMO ⚜ 5⃣
183440224,KAM - top 1000,GRUPO,https://chat.whatsapp.com/L1sC7x9NRND6v2T4IVXowY,5527997926363-1578518782@g.us,⚫ VICIADOS EM DESCONTOS 11 ⚫
420307218,MElIpro,GRUPO,https://chat.whatsapp.com/CmQVtmZUSiSG0Ifqe65mmB,120363375425910325@g.us,0005 Clube Promos 21
199199140,KAM - ouro,GRUPO,https://chat.whatsapp.com/DYO3GUfjbNi6ZLlYEBc0hG,120363024686001502@g.us,120363024686001502@g.us
169808445,KAM - top 1000,GRUPO,https://chat.whatsapp.com/KLZdjjmDJarKOMcowCcajh,120363029188354139@g.us,120363029188354139@g.us
1334764746,KAM - top 1000,GRUPO,https://chat.whatsapp.com/EuscaPvDB4t2rTAC1gSG05,120363029872619497@g.us,120363029872619497@g.us
514386663,KAM - top 1000,GRUPO,https://chat.whatsapp.com/El2R6H8UEU90utKzg0M9eB,120363038392307215@g.us,120363038392307215@g.us
1482183974,KAM - ouro,GRUPO,https://chat.whatsapp.com/KbiC4HyAPgZ5c0B4YZtX5N,120363043831374188@g.us,120363043831374188@g.us
1380412961,MElIpro,GRUPO,https://chat.whatsapp.com/FhPGelmE7MtBcyypvWBElL,120363048990319654@g.us,120363048990319654@g.us
1536298884,KAM - top 1000,GRUPO,https://chat.whatsapp.com/HWIR8cXLwCf4MelCkHpGz3,120363052401558929@g.us,120363052401558929@g.us
615723245,KAM - top 1000,GRUPO,https://chat.whatsapp.com/DCxjP81VSPYBL6Gxv9H52C,120363053228002606@g.us,120363053228002606@g.us
807123036,KAM - top 1000,GRUPO,https://chat.whatsapp.com/BJK04Bp8B0TBWJDs73DNxc,120363115454849947@g.us,120363115454849947@g.us
186778702,KAM - top 1000,GRUPO,https://chat.whatsapp.com/L4LNpfPZUqH05ouyae0Yri,120363203099815703@g.us,120363203099815703@g.us
448250295,KAM - top 1000,GRUPO,https://chat.whatsapp.com/GbdkHTyBqRm9zeMfi4sqfB,120363240039368305@g.us,120363240039368305@g.us
512970471,KAM - top 1000,GRUPO,https://chat.whatsapp.com/D6vTMhtpTji4R4oJ1oBcB2,120363264369239306@g.us,120363264369239306@g.us
1539409111,KAM - top 1000,GRUPO,https://chat.whatsapp.com/KXGSBZpRWnc5c66bbkNL1b,120363299458437089@g.us,120363299458437089@g.us
174150285,MElIpro,GRUPO,https://chat.whatsapp.com/FA0XF4KyDYUCuJWAHgIGZf,120363313233209159@g.us,120363313233209159@g.us
1062207010,KAM - top 1000,GRUPO,https://chat.whatsapp.com/K6fDMEvCuIpCjwGRpMsxIV,120363338201617945@g.us,120363338201617945@g.us
94733098,KAM - top 1000,GRUPO,https://chat.whatsapp.com/IR0gCURtqgZAJGne6meFbh,120363362432979590@g.us,120363362432979590@g.us
228286832,MElIpro,GRUPO,https://chat.whatsapp.com/FdJv2P0HUQLGUXxtpngfea,120363398603337247@g.us,120363398603337247@g.us
83966270,KAM - top 1000,GRUPO,https://chat.whatsapp.com/JD7FxqCc7lC71BZ6PgsuTy,120363399236042514@g.us,120363399236042514@g.us
132598358,KAM - top 1000,GRUPO,https://chat.whatsapp.com/HD3hBHCntvUCYL109WfhJH,120363399506805862@g.us,120363399506805862@g.us
226046758,KAM - top 1000,GRUPO,https://chat.whatsapp.com/JMfX31vfU1BBh6cf7R0Uqo,120363399844906080@g.us,120363399844906080@g.us
1106563292,MElIpro,GRUPO,https://chat.whatsapp.com/Kgw6HiTuPAeDDfIsotIrln,120363400217012012@g.us,120363400217012012@g.us
340577258,KAM - top 1000,GRUPO,https://chat.whatsapp.com/Kj9hC3NiBT77LkygW7nPiX,120363400583143688@g.us,120363400583143688@g.us
1426808500,KAM - ouro,GRUPO,https://chat.whatsapp.com/IFJMvDHZc2AIYyGqQcEHqt,120363401148418145@g.us,120363401148418145@g.us
