cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
84848607,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LBBRUqRFNeQElNvFBIvGiD,Link Quebrado,ERROR,
94733098,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IR0gCURtqgZAJGne6meFbh,Grupo,processed,120363362432979590@g.us
224168003,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JVIE5k7qfd3J3UDC0iotAD,Grupo,processed,120363386339295307@g.us
224168003,Confirmado,KAM - top 1000,Sim,https://www.whatsapp.com/channel/0029VatvEAm3LdQSgVnsaV3X ,Canal,to_process,
224168003,Confirmado,KAM - top 1000,Sim,https://www.whatsapp.com/channel/0029VamngXq6xCSIPEEtlw01,Canal,to_process,
288063877,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/FYshNVla9hcBWbSoIwfGm3,Grupo,processed,120363257853840248@g.us
473343832,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/KvP3btvte3j6t7w7m9Q6h7,Grupo,processed,120363214895946203@g.us
1299080285,Confirmado,KAM - top 1000,Sim,https://achadinhosimperdiveis.com.br/achadinho-grupo,Grupo,ERROR,
1334764746,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EuscaPvDB4t2rTAC1gSG05,Grupo,processed,120363029872619497@g.us
1374758175,Confirmado,KAM - top 1000,Sim,https://sndflw.com/i/grupospromotop,Grupo,ERROR,
1399249654,Confirmado,KAM - top 1000,Sim,l.instagram.com/?u=https%3A%2F%2Fwhatsapp.com%2Fchannel%2F0029Vb6XAspJ3juxxcp3UH1i%3Ffbclid%3DPAZXh0bgNhZW0CMTEAAadBdK77zRWg5sZktionHSexH5za-rLvFztWXI3mhVIBOTXbG2kRXJWPnC65VQ_aem_ke8foGBPJza_P58nBxfqqg&e=AT10GY-UGrn6D2i2SinDN0XgE7irReo8I-g3uQY097DN-WeG7aoFXDZopMQ0OwgnczwdqC8il0xWCJUkQDB1U0YEBdUUeir4QcCgDOg9xg,Canal,to_process,
1428402957,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Itr0HHBK6I7Gwt1oJ7FyUy?mode=wwc,Grupo,ERROR,
1438016577,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/ELd5ipGU0HnGR2nsuZzCOw,Grupo,processed,5524981153741-1633047154@g.us
1463526269,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EfbYI7XUWZA1KcK89zgygE?mode=ems_copy_t,Grupo,ERROR,
1528968155,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CmYgB22aHsx7TOrqHiR5HA?fbclid=PAZXh0bgNhZW0CMTEAAadm_gN-wFWHK0orkvFgp03psOgl56Xs7kbag4yvx6pH-s8EpKxso7OCv0NTUg_aem_Df89t4P5X9intBoCSuNH0Q,Grupo,ERROR,
1531640488,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DlJ8XtPlZ9i2oAJMo1EXnW?mode=ems_copy_t,Grupo,ERROR,
1880667258,Confirmado,KAM - top 1000,Sim,https://app.gruposinteligentes.com/r/vigiadeofertinhas,Link Quebrado,ERROR,
2313173804,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EexXms38M3O3yhSsIcmc6r,Grupo,ERROR,
2418855877,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LCUCTJLImyO3KzBKfRVZoc,Grupo,processed,558198148856-1625705090@g.us
129828195,Confirmado,KAM - top 1000,Sim,https://www.whatsapp.com/channel/0029VanwKdI3AzNSZMVS4b2z?fbclid=PAZXh0bgNhZW0CMTEAAafRGT9holVSEijHNMYVX48jo14hucpYjJGE4WvXrK1ZdI17J6lXPh1WjCjlGA_aem_3xPAn8F-j_EcfexNrM8ZAg,Canal,to_process,
132598358,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HD3hBHCntvUCYL109WfhJH,Grupo,ERROR,
229491441,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BT7Z2GIyRfq100xBXrb7Dc?mode=ac_c&fbclid=PAZXh0bgNhZW0CMTEAAacVKS0RTVh1vL68sXO9-Cc6cX16yY3coG9lClLRNoyDAjZdlSZYm4MDSUapMg_aem_77Lpb6bZ1EYK2OKlgnnYRA,Grupo,ERROR,
678565811,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Ij1adPFRDEgEnWBXtTbPAE,Link Quebrado,ERROR,
1487189700,Confirmado,KAM - top 1000,Sim,https://api.whatsapp.com/send?phone=5583998873301&text=,Conversa,ERROR,
2057503925,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HdeizfsVqa09p5ffxHbCd2?fbclid=PAZXh0bgNhZW0CMTEAAaeL26lXQIxBZmLIkD3IT1DEJDKF321rxbusS5JGo-8UaQZ4ww5C_OccsS4kJg_aem_I8ujeNXgwIL7sxU-kq_67Q,Grupo,ERROR,
1334764746,Confirmado,KAM - top 1000,Sim,https://www.whatsapp.com/channel/0029Va4l5Wx545uoDl9sil27,Canal,to_process,
231841011,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GMlz11599YTLP3ui9VWgXn?mode=ac_c,Grupo,ERROR,
676651691,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LOK7ys7CuZKAiBBuon1drt?mode=wwt&fbclid=PAZXh0bgNhZW0CMTEAAafuf3L3ZqWFJaFn2q6Cr0y8tauqiewpKn2Ew1LYql1orhhiog7KXYIzmzC6zg_aem_FR7-ZL8jX8YeWgbTAH9yRg,Grupo,ERROR,
1167640603,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LKNq5b7IVGL0B89W4fKuLF?mode=ems_copy_t,Grupo,ERROR,
1369622787,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/IDhYoLEzlw1Bs9NocQQB4u,Grupo,ERROR,
1890922253,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JAv9DaNWBSLA25LqoC9YI3?mode=wwt,Grupo,ERROR,
229837054,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/D6eBFtbGbNW382vxea0zio,Grupo,ERROR,
