ID;Tem Grupo Mapeado?;Endereço grupo 1;group_id;group_name;Category;Username;Tier;KAM Lead;KAM;tipo_link
4920261;Tem grupo;https://chat.whatsapp.com/E4EQRKbO6M90cYw7gNkkTu;120363404545670358@g.us;Oportunidades e promoções (Pedro Jorge);Content | Cross;pjinsta;Bronze;Thales Rimoli;Nina Adler;Grupo
5399188;Tem grupo;https://chat.whatsapp.com/GTv8c0Bgs1cJmW68m9fYSk;120363420550503179@g.us;Comunidade Moto Filé - 03;Content | Other;castrol5745;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
6034265;Tem grupo;https://www.whatsapp.com/channel/0029VaBdQyUB4hdPOB7CLk3r;120363185058576304@newsletter;odCasa;Content | C&I + F&H;natingraci;Silver;Lucas Vesterman;Rodrigo Nogi;Canal
6767693;Tem grupo;https://chat.whatsapp.com/BZ2EGGJzgqrCcsEYbZ6BQi;5511977432297-1602344382@g.us;PromoBKids 8;Content | Cross;promobkids;Bronze;Thales Rimoli;Nina Adler;Grupo
6867385;Tem grupo;https://chat.whatsapp.com/EAmbNt2PXP98dhP44m1dxr;5521996401320-1498688294@g.us;UP PromONLINE 4;Content | Cross;ofertasml;Bronze;Thales Rimoli;Nina Adler;Grupo
9110980;Tem grupo;https://chat.whatsapp.com/KxdMgbZXdXQ3XAxzL3C9aI;120363401043709845@g.us;BoardDog Caramelo #8 • Boardgame Ofertas;Content | Lifestyle;pepperofertas;Bronze;Caroline Marion;Renan Oshita;Grupo
13056075;Tem grupo;https://chat.whatsapp.com/BB08hsvPc7a9Hbh4oQKvCB;120363022474745864@g.us;01-Descontos Solar e Variedades;Content | C&I + F&H;tarcisiosimone;Gold;Lucas Vesterman;Lucas Vesterman;Grupo
15479744;Tem grupo;https://chat.whatsapp.com/J5mF0xD0j149n9BJDGI9oG;558481155959-1540473414@g.us;🛒 Te dou um desconto Ca 📲;Content | C&I + F&H;tedouumdesconto;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
15665498;Tem grupo;https://chat.whatsapp.com/IZcWfdBW6Pm2EFWxXnnEgY;120363353630990311@g.us;Clube Kotas #10;Content | Cross;kotas;Gold;Thales Rimoli;Carli Vasconcelos;Grupo
19026603;Tem grupo;https://chat.whatsapp.com/GVYQZog2sir01Q7aKel0Ym;555195575054-1629386789@g.us;2quadrinhos | Book Store (5);Content | Cross;lupuszin;Bronze;Thales Rimoli;Nina Adler;Grupo
25086949;Tem grupo;https://chat.whatsapp.com/EYQniVEmjwb8yKGwdITPeO;120363046210136131@g.us;IMPBR OFERTAS VIP 31 🇨🇳🇺🇸🇧🇷;Content | Cross;coringa_2010;Bronze;Thales Rimoli;Nina Adler;Grupo
39495020;Tem grupo;https://chat.whatsapp.com/K5db23eicfy84i8kVSp3IJ;120363410917864957@g.us;TD Sobre Promos #4;Content | Cross;Tudo Sobre Promos;Bronze;Thales Rimoli;Nina Adler;Grupo
43288841;Tem grupo;https://chat.whatsapp.com/JRHlMQXqG9K5Yu2WAKOyTc;120363320658017356@g.us;DICAS E LINKS PRODUTOS E IMPORTAÇÃO CLEDER RS;Content | Other;clederrs;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
45068254;Tem grupo;https://chat.whatsapp.com/BW4ZLkfLClf2JDlIjl1ErN;120363400003300880@g.us;#41 Achadinhos da Drica❣️;Content | Cross;ASM DIGITAL COMMERCE LTDA;Bronze;Thales Rimoli;Nina Adler;Grupo
51373164;Tem grupo;https://chat.whatsapp.com/DNtg6aR9lHN1WxZJRytAPb;120363403140682732@g.us;#16 MESA INSPIRADA OFERTAS 🛍️;Content | C&I + F&H;emiliastep;Gold;Lucas Vesterman;Rodrigo Nogi;Grupo
53501280;Tem grupo;https://chat.whatsapp.com/KM7IF5UvXFIBmTudw6BPIW;5519999241506-1492827796@g.us;Promo desconto cupons 1;Content | Cross;promodescontocupons;Bronze;Thales Rimoli;Nina Adler;Grupo
60759037;Tem grupo;https://chat.whatsapp.com/KJbqeiP49kZFP5PEaGbkRs;120363418417033734@g.us;🩵 Promo do Bebezinho 16;Content | Cross;Promo;Bronze;Thales Rimoli;Nina Adler;Grupo
62758088;Tem grupo;https://chat.whatsapp.com/KGByLD3Sp028xVxG3tYEHK;120363265149785915@g.us;GATA GAROTA FINDS #8;Content | Cross;gatagarotafinds;Bronze;Thales Rimoli;Nina Adler;Grupo
63186757;Tem grupo;https://chat.whatsapp.com/LaYuXGLIop61whIHhuG1uu;120363418174945796@g.us;Grupinho da Gaby Promos #7;Content | Cross;gabrielamachado21;Bronze;Thales Rimoli;Nina Adler;Grupo
74339904;Tem grupo;https://www.whatsapp.com/channel/0029VaIymKi1HspyoimWMj1b;120363215126560601@newsletter;OFERTAS CONSUMIDOR EMPODERADO;Content | Cross;empoderado;Silver;Thales Rimoli;Priscila Marques;Canal
83966270;Tem grupo;https://chat.whatsapp.com/D2pR5wjC0en5KL4ci402jN;120363411493709051@g.us;PROMOS DO DIA #5 🛍️@ratadosachados;Content | Cross;ratadosachados;Bronze;Thales Rimoli;Nina Adler;Grupo
92297909;Tem grupo;https://chat.whatsapp.com/HFJ6lJ4667fBuYXA1sX05v;556182848384-1606487970@g.us;PromoBUGS 13;Content | Cross;razer12;Bronze;Thales Rimoli;Nina Adler;Grupo
94733098;Tem grupo;https://chat.whatsapp.com/IR0gCURtqgZAJGne6meFbh;120363362432979590@g.us;Promos Casa & Beleza #05;Content | C&I + F&H;achadosprincipais;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
95228583;Tem grupo;https://chat.whatsapp.com/GSPhBned3lt8c8YGDeWN2M;120363418953363444@g.us;Grupo de Ofertas Eduardo Aquino;Content | Other;eduardoaquino;Bronze;Lucas Vesterman;Rodrigo Nogi;Grupo
