aff_id,class_atual,tipo_link,link,id_api,grupo
4621837,KAM - top 1000,Grupo,https://chat.whatsapp.com/D3gyYuH0Y0q82aNWRXdQ6i,120363402704307025@g.us,@achadinhoscomcarol 🛍️ 14
5160092,KAM - top 1000,Grupo,https://chat.whatsapp.com/K0Qvrw74bqdAi0FysJANr5,120363099314346009@g.us,Desconto Legal
5399188,KAM - top 1000,Grupo,https://chat.whatsapp.com/FzoBRhQjSBR8qAaYXWbBWx,120363333693807722@g.us,Comunidade Moto Filé
6876244,MElIpro,Grupo,https://chat.whatsapp.com/B79euMqi7BE6hd6NeTv39z,120363419008047565@g.us,Achadinhos das primas 💕🛍️#9#
15665498,top KAM Cross/Tech,Grupo,https://chat.whatsapp.com/Hcb23EBqkdo3vYXuuyB8bB,120363351854389471@g.us,Clube Kotas #09
27190734,MElIpro,Grupo,https://chat.whatsapp.com/LTFq7RG0e08DH6c9i3TRuE,120363382104653898@g.us,"Mãe, Economizei! Promos e Cupons"
30107921,KAM - top 1000,Grupo,https://chat.whatsapp.com/CFPqGJMJy8J7Zrt1GCkhCF,120363417352116923@g.us,Kah Indica
33691178,MElIpro,Grupo,https://chat.whatsapp.com/JPHe7LUEuKzBKZODcnOdRU,120363404262214077@g.us,Achadinho da Bianca #001
47190880,KAM - top 1000,Grupo,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,120363339148867926@g.us,😱 Promoções e Cupons 🔥
47897711,KAM - top 1000,Grupo,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim,120363287089062163@g.us,Promos Úteis 🛒 #2
49674458,KAM - top 1000,Grupo,https://chat.whatsapp.com/D5Si0eBiQZj9DZaRSJDgrA,120363268951341273@g.us,LINKS DO SONNORA - ABERTO
49721139,MElIpro,Grupo,https://chat.whatsapp.com/DK2ip7TlaZ882CBoBXCY7T,120363417466781404@g.us,"#7 grupo - Bem-vinda ao universo feminino 💄- Vestindo bem, pagando pouco 🛍️💝🔗"
53501280,KAM - top 1000,Grupo,https://chat.whatsapp.com/3AojlMVOnTx5aanIu9xATd,5519999241506-1510091197@g.us,Promo desconto cupons 10
56815198,MElIpro,Grupo,https://chat.whatsapp.com/JJc73JmdCbXKIoj6WrjfwP,555197590316-1569254347@g.us,⚜ SUPER PROMO ⚜ 5⃣
61249096,MElIpro,Grupo,https://chat.whatsapp.com/LCQhtszftoPKeLJBtgc363,120363133979174965@g.us,🟠((EXCLUSIVO SHOPEE 3️⃣)) @promo.damahii
62381440,MElIpro,Grupo,https://chat.whatsapp.com/HE0qDdyC4woF3ZDPTQ6fQd,120363045563839585@g.us,Achadinhos e Promos 🛍😱 #2
73418100,KAM - top 1000,Grupo,https://chat.whatsapp.com/BDO3Mirgc7xFReDJ9QxZ82,120363417370308906@g.us,Promos do Guia Produto #1
76331531,top KAM Cross/Tech,Grupo,https://chat.whatsapp.com/LRjdSDkp9jd6OOLSCwY5Qm,120363315780159714@g.us,Especialista em TI #11
79019768,KAM - top 1000,Grupo,https://chat.whatsapp.com/CMPA3hBbXmSBg7aEoHcdAc,120363422251666745@g.us,Bike Radar #9 - Ofertas de ciclismo em primeira mão!
80016581,MElIpro,Grupo,https://chat.whatsapp.com/GnRAjCdII8D9ySCr2UMUBQ,120363419173236822@g.us,Achadinhos Ofertou #44
83966270,KAM - top 1000,Grupo,https://chat.whatsapp.com/JD7FxqCc7lC71BZ6PgsuTy,120363399236042514@g.us,PROMOS DO DIA #8 🛍️ @ratadosachados
91941491,MElIpro,Grupo,https://chat.whatsapp.com/BDfTy6zh8OsGCN4zWOfSzW,120363402118493515@g.us,Links e promoções - @daiemcasa
92792646,KAM - top 1000,Grupo,https://chat.whatsapp.com/Hi4wsoxm8oyDgk09a0zpEW,120363319331322278@g.us,Cout 09 🇧🇷 Promoções e Info
94733098,KAM - top 1000,Grupo,https://chat.whatsapp.com/IR0gCURtqgZAJGne6meFbh,120363362432979590@g.us,Promos Casa & Beleza #05
99920305,KAM - top 1000,Grupo,https://chat.whatsapp.com/Bilt1HIkKufE4zmWKdAh0m,120363044447822982@g.us,Ofertas de TUDO - MB07
103699751,KAM - top 1000,Grupo,https://chat.whatsapp.com/KUZStrTHW8n6ITKXFfcCeL,120363422953295282@g.us,Fórmula Ideal Fit - [ 15 ]
105244951,KAM - top 1000,Grupo,https://chat.whatsapp.com/G8aLNHaHaOHAtAi6oBoEbx,120363418307767899@g.us,Marcelo Casa Eletro OFERTAS
107916024,KAM - top 1000,Grupo,https://chat.whatsapp.com/DxZvHGHttCaD6JyJDH909k,120363423620703537@g.us,[JTECH] Promoções Gamer #102
115429420,MElIpro,Grupo,https://chat.whatsapp.com/IfyC3HjCdQS1Or9X1aB81O,120363389475200834@g.us,[29] 🎨 Achados da professora 👩‍🏫
119053125,MElIpro,Grupo,https://chat.whatsapp.com/I3ccW9jKW7F8Wjf4erKWWV,120363417460628545@g.us,Achados para mães e filhos - @achadosdamarina 2
120188822,MElIpro,Grupo,https://chat.whatsapp.com/EGDd0zrJRdQ1ECKBbuMH1k,120363384850142668@g.us,18.🔥PROMOS @thai.torel🔥
122211558,MElIpro,Grupo,https://chat.whatsapp.com/Kj0kGQjHgu534xo3LPnCXd,120363251147383891@g.us,MARIA BISCOTEIRA - #24
127073909,MElIpro,Grupo,https://chat.whatsapp.com/DLUKao1JGH9CB4bKtsSUSt,120363418295221709@g.us,Compras Shop
127894622,MElIpro,Grupo,https://chat.whatsapp.com/ClLaq2pbQHV8N3RmjEIad2,120363317923632634@g.us,PROMOS DO DIA 🔥 Achadinhos
