cust_id;Classificação Atual;deals group on wpp?;STATUS;LINK_OK
1688748953;Platinum;Sim;GRUPO;https://chat.whatsapp.com/COP6R3XBRQk0VNUcmuh96Z
488851324;Platinum;Sim;GRUPO;https://chat.whatsapp.com/LIgGrv7UFzIHU7j7ctYGvt
555414187;Platinum;Sim;GRUPO;https://chat.whatsapp.com/E2qvGghBKcOHmfWOAtI4aL
1286635153;Platinum;Sim;GRUPO;https://chat.whatsapp.com/KC9Vir5WsK90eurfEpIFbA
1454842874;Platinum;Sim;GRUPO;https://chat.whatsapp.com/GmQ3WUKigH7BYYggnWtHUr
1445776663;Platinum;Sim;GRUPO;https://chat.whatsapp.com/ESRYSAvRLNUIACRaD6DTSo
447087158;Platinum;Sim;GRUPO;https://chat.whatsapp.com/HSIPwhZnkos4Q4upFSVlue
521944421;Platinum;Sim;GRUPO;https://chat.whatsapp.com/Bt1AIpzD4USChFcYtscnVq
1803140827;Platinum;Sim;GRUPO;https://chat.whatsapp.com/Lhc0qLLlfgGHbhXF8t6JSO
1317961778;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029Val8yoECHDyoi2TgYt1z
1236298302;Platinum;Sim;GRUPO;https://chat.whatsapp.com/I9Iov8ypjEqDlVK1E8QGVL
1231808348;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029VaEPqqBDOQIUTTOCMg1l
1211756872;Platinum;Sim;GRUPO;https://chat.whatsapp.com/HdB9WcW2Ivu0cIpMrk43B8
441877091;Platinum;Sim;GRUPO;https://chat.whatsapp.com/F9k7yYOmSzFGLF5azSv11q
301138223;Platinum;Sim;GRUPO;https://chat.whatsapp.com/HBvVODelAE210I8mQbpZxF
2490611911;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029VbArBWU2Jl8MlhM75q2l
1406524799;Platinum;(Canal de whatsapp);CANAL;https://www.whatsapp.com/channel/0029Vb6X5oC6GcGDbXTmOF37
1245410086;Platinum;Sim;GRUPO;https://chat.whatsapp.com/JC3EsVz3c8MDHxuVt3GPU7
1477497679;Platinum;Sim;GRUPO;https://chat.whatsapp.com/CVJBXstBsSwAa0jR8bYxcV
1464475202;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029VaeeUxSIXnlrDEtL5y0P
1464475202;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029Va9lrS5GufIu669tIy13
207302282;Platinum;Sim;CANAL;https://www.whatsapp.com/channel/0029VanhKWjJUM2ZkrzNmD2o
16101052;Platinum;Sim;GRUPO;https://chat.whatsapp.com/DKCirDiCv9cCFp8P2biKl5
2465561350;Ouro;Sim;GRUPO;https://chat.whatsapp.com/BX1eBJQngQz5fY8TpcjbFW
66288574;Ouro;Sim;GRUPO;https://chat.whatsapp.com/LuID2lhm3nfKhD3BZtpUxx
1670402214;Ouro;Sim;GRUPO;https://chat.whatsapp.com/Hfu9O0E3uv21jDN2qEUxsX
