ID,Affiliate_segment,Afiiliate_Username,Tier,KAM Lead,KAM
1468622524,Content | TE & HE,Guilherme,Bronze,Thales Rimoli,Alexandre Garcia
2070420611,Content | TE & HE,erick7link,Bronze,Thales Rimoli,Alexandre Garcia
293046454,Content | TE & HE,lira9466022,Bronze,Thales Rimoli,Alexandre Garcia
488170189,Content | TE & HE,lopes099,Bronze,Thales Rimoli,Alexandre Garcia
435328576,Content | TE & HE,thalera,Bronze,Thales Rimoli,Alexandre Garcia
615723245,Content | TE & HE,memorycard8mb,Bronze,Thales Rimoli,Alexandre Garcia
1661960926,Content | TE & HE,ezhardwarebrasil,Bronze,Thales Rimoli,Alexandre Garcia
2086780678,Content | TE & HE,dicasja,Bronze,Thales Rimoli,Alexandre Garcia
1316590351,Content | TE & HE,betech,Bronze,Thales Rimoli,Alexandre Garcia
8467064,Content | TE & HE,descontogamer,Bronze,Thales Rimoli,Alexandre Garcia
1389303807,Content | TE & HE,hadesplays,Bronze,Thales Rimoli,Alexandre Garcia
83215915,Content | TE & HE,comoclube,Bronze,Thales Rimoli,Alexandre Garcia
307427045,Content | TE & HE,sacempresarialmorpheus,Bronze,Thales Rimoli,Alexandre Garcia
770450283,Content | TE & HE,senhorlinguica,Bronze,Thales Rimoli,Alexandre Garcia
294107410,Content | TE & HE,baptistapromos,Bronze,Thales Rimoli,Alexandre Garcia
1987552500,Content | TE & HE,garagemdoinventor,Bronze,Thales Rimoli,Alexandre Garcia
2227174979,Content | TE & HE,es20250123132717,Bronze,Thales Rimoli,Alexandre Garcia
1764923140,Content | TE & HE,italocanellayt,Bronze,Thales Rimoli,Alexandre Garcia
199937377,Content | TE & HE,reviews_curtinhas,Bronze,Thales Rimoli,Alexandre Garcia
1639459856,Content | TE & HE,huvi20240114214038,Bronze,Thales Rimoli,Alexandre Garcia
554844620,Content | TE & HE,AbraÃƒÂ£o,Bronze,Thales Rimoli,Alexandre Garcia
480209739,Content | TE & HE,roca219547,Bronze,Thales Rimoli,Alexandre Garcia
628957878,Content | TE & HE,ninjarecomenda,Bronze,Thales Rimoli,Alexandre Garcia
1288325538,Content | TE & HE,canaljms,Bronze,Thales Rimoli,Alexandre Garcia
2284013461,Content | TE & HE,Maria Joselma da Silva Souza,Bronze,Thales Rimoli,Alexandre Garcia
807123036,Content | TE & HE,ofertastech26,Bronze,Thales Rimoli,Alexandre Garcia
1485911737,Content | TE & HE,tecnoinfo,Bronze,Thales Rimoli,Alexandre Garcia
472977261,Content | TE & HE,siga3918026,Bronze,Thales Rimoli,Alexandre Garcia
825449869,Content | TE & HE,lara,Bronze,Thales Rimoli,Alexandre Garcia
3470857,Content | TE & HE,aprendemosjuntos,Bronze,Thales Rimoli,Alexandre Garcia
473569671,Content | TE & HE,loukosportech,Bronze,Thales Rimoli,Alexandre Garcia
202823323,Content | TE & HE,brunamota,Bronze,Thales Rimoli,Alexandre Garcia
