aff_if,class_atual,tipo_link,link,id,name
1156678,Bronze,Grupo,https://chat.whatsapp.com/DPhMOhEaNGHGQ0zX6HKzbw,120363424523362434@g.us,#61 Grupo Vip Home & Ofertas
3573775,Bronze,Grupo,https://chat.whatsapp.com/B74jYLXhWTwJtf9mnGWsIX,120363422156415100@g.us,GARIMPOS FIT #4
4621837,Silver,Grupo,https://chat.whatsapp.com/BlTkcObNkq5EmBPFVb78Mv,120363419739565523@g.us,@achadinhoscomcarol 🛍️ 18
6454024,Silver,Grupo,https://chat.whatsapp.com/FSFrucHSylmCoY6RrYP9DA,120363361699812635@g.us,Mulher Estilosa #31
8467064,Bronze,Canal,https://www.whatsapp.com/channel/0029VbBdHaXDDmFOwpEd5u0f,120363418735996273@newsletter,HUB das Ofertas
19468151,Silver,Grupo,https://chat.whatsapp.com/CSrJoCiWmbO7iynIOv6GgT,120363404567614012@g.us,"Indiquei Descontos ""Dia a Dia"" #3"
30107921,Bronze,Grupo,https://chat.whatsapp.com/KNG2idz9p0A7HhgKxDhj5E,120363223413458114@g.us,Links da Kah
44352982,Gold,Canal,https://www.whatsapp.com/channel/0029Vb6EHc1KmCPTwxvrbT10,120363398481030915@newsletter,PROMOÇÕES TJ GAMING
45185619,Bronze,Grupo,https://chat.whatsapp.com/HqjX04hPBuc5VzeJvLVJwY,5521983928913-1635937082@g.us,Espiã de Farmácia 5
47190880,Bronze,Grupo,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,120363339148867926@g.us,Promoções e Cupons #1🔥
47897711,Bronze,Grupo,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim,120363287089062163@g.us,Promos Úteis 🛒 #2
48673895,Bronze,Grupo,https://chat.whatsapp.com/CYbt8ShKE0CAT89gngsMpq,120363038405224186@g.us,TA BARATO TALITA 2
51597294,Silver,Canal,https://whatsapp.com/channel/0029Var77uB9Gv7MiEk3zM0p,120363363220332210@newsletter,Cadeiras de Escritório Promoções
51908994,Bronze,Grupo,https://chat.whatsapp.com/JZRnJkTAZNtH0YXBg0QdmS,120363204406955026@g.us,Descontos e Promoções 🛍️
54685868,Silver,Grupo,https://chat.whatsapp.com/ByR4LiHfPZtIEZVDccJUBU,120363400958158475@g.us,Achados da Luki #6♥️
