aff_if,class_atual,tipo_link,link,id,name
2465561350,Gold,Grupo,https://chat.whatsapp.com/BX1eBJQngQz5fY8TpcjbFW,5512991779971-1623758683@g.us,ACHADO DE CARRO #145
1454842874,Diamond,Grupo,https://chat.whatsapp.com/GmQ3WUKigH7BYYggnWtHUr,554192865315-1615048540@g.us,Promoçãozinha BK36 💙
447087158,Diamond,Grupo,https://chat.whatsapp.com/HSIPwhZnkos4Q4upFSVlue,120363423299479775@g.us,Achados Originais G031
521944421,Diamond,Grupo,https://chat.whatsapp.com/Bt1AIpzD4USChFcYtscnVq,120363406138858848@g.us,Sopromosoriginais 855
2490611911,Diamond,Canal,https://www.whatsapp.com/channel/0029VbArBWU2Jl8MlhM75q2l,120363404922070546@newsletter,Promozone
1406524799,Gold,Canal,https://www.whatsapp.com/channel/0029Vb6X5oC6GcGDbXTmOF37,120363401865145191@newsletter,Top Tech PROMO!
1688748953,Diamond,Grupo,https://chat.whatsapp.com/COP6R3XBRQk0VNUcmuh96Z,120363421425151427@g.us,REI DA PROMO #641
1245410086,Gold,Grupo,https://chat.whatsapp.com/JC3EsVz3c8MDHxuVt3GPU7,5511971990503-1597260474@g.us,Tuk Ofertas! O2
488851324,Diamond,Grupo,https://chat.whatsapp.com/LIgGrv7UFzIHU7j7ctYGvt,120363022254019135@g.us,Promoções do dia 0622
555414187,Diamond,Grupo,https://chat.whatsapp.com/E2qvGghBKcOHmfWOAtI4aL,120363339280721183@g.us,xet das promoções | 107
16101052,Diamond,Grupo,https://chat.whatsapp.com/DKCirDiCv9cCFp8P2biKl5,120363404330985033@g.us,Caçador de Cupom #150
1231808348,Gold,Canal,https://www.whatsapp.com/channel/0029VaEPqqBDOQIUTTOCMg1l,120363197042724787@newsletter,gt.OFERTAS
1464475202,Diamond,Canal,https://www.whatsapp.com/channel/0029Va9lrS5GufIu669tIy13,120363198736328391@newsletter,JOAO_PSX PROMOÇÕES
66288574,Silver,Grupo,https://chat.whatsapp.com/Kk5haEy6eLUJC1SS7UcRzR,120363403634565324@g.us,PROMOÇÕES DO DIA #81
1670402214,Diamond,Grupo,https://chat.whatsapp.com/Hfu9O0E3uv21jDN2qEUxsX,120363424218374012@g.us,originalnapromo 96
1317961778,Diamond,Canal,https://www.whatsapp.com/channel/0029Val8yoECHDyoi2TgYt1z,120363340136552570@newsletter,🔥Promoções - THAUTEC 📢
1464475202,Diamond,Canal,https://www.whatsapp.com/channel/0029VaeeUxSIXnlrDEtL5y0P,120363313069945466@newsletter,JOAO_PSX TECH️
1286635153,Diamond,Grupo,https://chat.whatsapp.com/KC9Vir5WsK90eurfEpIFbA,555484283413-1612792049@g.us,Economizei 215
1445776663,Diamond,Grupo,https://chat.whatsapp.com/ESRYSAvRLNUIACRaD6DTSo,5521979402668-1533852554@g.us,💥💥 TÁ BUGADO!!! 💯3️⃣9⃣
1236298302,Gold,Grupo,https://chat.whatsapp.com/DQXC5M44C0g9SYs6N9DXWx,558894229048-1596988805@g.us,JersuOfertas-Z5
1211756872,Gold,Grupo,https://chat.whatsapp.com/HdB9WcW2Ivu0cIpMrk43B8,120363420723520951@g.us,Lipe OFERTAS #49
441877091,Diamond,Grupo,https://chat.whatsapp.com/F9k7yYOmSzFGLF5azSv11q,,
301138223,Diamond,Grupo,https://chat.whatsapp.com/HBvVODelAE210I8mQbpZxF,120363421173071319@g.us,Will Garimpou [215]
1803140827,Gold,Grupo,https://chat.whatsapp.com/Lhc0qLLlfgGHbhXF8t6JSO,120363421313424218@g.us,Tênis Ofertas | 163
1477497679,Diamond,Grupo,https://chat.whatsapp.com/CVJBXstBsSwAa0jR8bYxcV,,
207302282,Diamond,Canal,https://www.whatsapp.com/channel/0029VanhKWjJUM2ZkrzNmD2o,120363336020038705@newsletter,PROMOSAM 🛒🔥 - Promoções & Cupons & Achadinhos e Memes
