ID,Affiliate_segment,Afiiliate_Username,Tier,KAM Lead,KAM
177778397,Content | TE & HE,afiliadosml,Bronze,Thales Rimoli,Alexandre Garcia
1468622524,Content | TE & HE,Guilherme,Bronze,Thales Rimoli,Alexandre Garcia
223065571,Content | TE & HE,deivisonreis,Bronze,Thales Rimoli,Alexandre Garcia
2070420611,Content | TE & HE,erick7link,Bronze,Thales Rimoli,Alexandre Garcia
293046454,Content | TE & HE,lira9466022,Bronze,Thales Rimoli,Alexandre Garcia
488170189,Content | TE & HE,lopes099,Bronze,Thales Rimoli,Alexandre Garcia
183084677,Content | TE & HE,lippeofertas,Bronze,Thales Rimoli,Alexandre Garcia
1297399555,Content | TE & HE,silva0012,Bronze,Thales Rimoli,Alexandre Garcia
1293477138,Content | TE & HE,wplima1,Bronze,Thales Rimoli,Alexandre Garcia
167650333,Content | TE & HE,alishow,Bronze,Thales Rimoli,Alexandre Garcia
435328576,Content | TE & HE,thalera,Bronze,Thales Rimoli,Alexandre Garcia
1856859073,Content | TE & HE,cm20240614143136,Bronze,Thales Rimoli,Alexandre Garcia
615723245,Content | TE & HE,memorycard8mb,Bronze,Thales Rimoli,Alexandre Garcia
1661960926,Content | TE & HE,ezhardwarebrasil,Bronze,Thales Rimoli,Alexandre Garcia
2086780678,Content | TE & HE,dicasja,Bronze,Thales Rimoli,Alexandre Garcia
1803568980,Content | TE & HE,gianlucabc,Bronze,Thales Rimoli,Alexandre Garcia
1316590351,Content | TE & HE,betech,Bronze,Thales Rimoli,Alexandre Garcia
8467064,Content | TE & HE,descontogamer,Bronze,Thales Rimoli,Alexandre Garcia
172902052,Content | TE & HE,ltech,Bronze,Thales Rimoli,Alexandre Garcia
1326519654,Content | TE & HE,meupcnet,Bronze,Thales Rimoli,Alexandre Garcia
200949990,Content | TE & HE,gagi8344107,Bronze,Thales Rimoli,Alexandre Garcia
75387792,Content | TE & HE,leonardodrummond,Bronze,Thales Rimoli,Alexandre Garcia
241645688,Content | TE & HE,canaldigplay,Bronze,Thales Rimoli,Alexandre Garcia
1389303807,Content | TE & HE,hadesplays,Bronze,Thales Rimoli,Alexandre Garcia
690775790,Content | TE & HE,guicasainteligente,Bronze,Thales Rimoli,Alexandre Garcia
2950832623,Content | TE & HE,AO20251027154024,Bronze,Thales Rimoli,Alexandre Garcia
172632957,Content | TE & HE,61 658 277 FELIPE SOARES LOURE,Bronze,Thales Rimoli,Alexandre Garcia
83215915,Content | TE & HE,comoclube,Bronze,Thales Rimoli,Alexandre Garcia
307427045,Content | TE & HE,sacempresarialmorpheus,Bronze,Thales Rimoli,Alexandre Garcia
2907265272,Content | TE & HE,gq20251005181240,Bronze,Thales Rimoli,Alexandre Garcia
770450283,Content | TE & HE,senhorlinguica,Bronze,Thales Rimoli,Alexandre Garcia
294107410,Content | TE & HE,baptistapromos,Bronze,Thales Rimoli,Alexandre Garcia
1987552500,Content | TE & HE,garagemdoinventor,Bronze,Thales Rimoli,Alexandre Garcia
553485627,Content | TE & HE,nasa5361421,Bronze,Thales Rimoli,Alexandre Garcia
275994614,Content | TE & HE,motoshartmann,Bronze,Thales Rimoli,Alexandre Garcia
2018286552,Content | TE & HE,lr20241002154517,Bronze,Thales Rimoli,Alexandre Garcia
2227174979,Content | TE & HE,es20250123132717,Bronze,Thales Rimoli,Alexandre Garcia
93608612,Content | TE & HE,valeuadica,Bronze,Thales Rimoli,Alexandre Garcia
2944716707,Content | TE & HE,descomplicaconosco,Bronze,Thales Rimoli,Alexandre Garcia
1864837598,Content | TE & HE,lphoffmann,Bronze,Thales Rimoli,Alexandre Garcia
1764923140,Content | TE & HE,italocanellayt,Bronze,Thales Rimoli,Alexandre Garcia
2434968281,Content | TE & HE,corujaofertas,Bronze,Thales Rimoli,Alexandre Garcia
199937377,Content | TE & HE,reviews_curtinhas,Bronze,Thales Rimoli,Alexandre Garcia
1639459856,Content | TE & HE,huvi20240114214038,Bronze,Thales Rimoli,Alexandre Garcia
554844620,Content | TE & HE,AbraÃƒÂ£o,Bronze,Thales Rimoli,Alexandre Garcia
480209739,Content | TE & HE,roca219547,Bronze,Thales Rimoli,Alexandre Garcia
1539409111,Content | TE & HE,promopcs,Bronze,Thales Rimoli,Alexandre Garcia
628957878,Content | TE & HE,ninjarecomenda,Bronze,Thales Rimoli,Alexandre Garcia
1288325538,Content | TE & HE,canaljms,Bronze,Thales Rimoli,Alexandre Garcia
156249774,Content | TE & HE,comprafacilesegura,Bronze,Thales Rimoli,Alexandre Garcia
2526989064,Content | TE & HE,eudeseudes20230911142827,Bronze,Thales Rimoli,Alexandre Garcia
147294155,Content | TE & HE,leandroimports,Bronze,Thales Rimoli,Alexandre Garcia
2378704472,Content | TE & HE,resenhasdoheitor,Bronze,Thales Rimoli,Alexandre Garcia
2284013461,Content | TE & HE,Maria Joselma da Silva Souza,Bronze,Thales Rimoli,Alexandre Garcia
