id,name
120363024686001502@g.us,
120363024703006289@g.us,🌸 BEAUTY PROMO 59 🌸
120363024939673808@g.us,💥Querido Desconto 108
120363024957848051@g.us,PROMOS DA NATH 🛍️🎀 [35]
120363025523984059@g.us,@thatynhapromo 5
120363026480031823@g.us,PromodaCaren 5 🔒
120363026950048288@g.us,A Rainha das Promoções 25
120363027468121202@g.us,🔥 OFERTA SECRETA VIP 🔥
120363028348310898@g.us,Achadinhos da Carol
120363029188354139@g.us,
120363029412556247@g.us,Promos Diversas B14
120363029697602745@g.us,Mamãe tá ON Promoções 7
120363029872619497@g.us,
120363038392307215@g.us,
120363039065808699@g.us,OFERTAS Rodrigo Moreira #19
120363039175634581@g.us,Promoções e Descontos 26
120363042066571457@g.us,PROMOS DA DEEKO 💕 #04
120363042203458688@g.us,3- Ofertas Imperdíveis 🔥
120363042210618548@g.us,👶🏻 PromoBaby | 24
120363042852663318@g.us,🛒 Promoções do Bita - 💸 #32
120363043587323573@g.us,PROMO E DICAS 🧡cupons e +
120363043664426151@g.us,Top Ofertas Todo Dia 9
120363043831374188@g.us,
120363044276358097@g.us,Acheipravocê#2
120363044447822982@g.us,Ofertas de TUDO - MB07
120363045029936774@g.us,PROMO DA LAILA 3 🛍️
120363045116629526@g.us,SNAKE PROMOS 2 🐍
120363045563839585@g.us,Achadinhos e Promos 🛍😱 #2
120363045837421025@g.us,GIRLSBUGS SEM CHAT 2️⃣6️⃣
120363045840785211@g.us,táBaratasso ✅ 214
120363046255621903@g.us,Inova Leo Ofertas Geral 1
120363046731785274@g.us,G1 PROMOÇÃO KIDS BRASIL
120363048990319654@g.us,
120363052401558929@g.us,
120363053228002606@g.us,
120363099314346009@g.us,Desconto Legal
120363115454849947@g.us,
120363133979174965@g.us,🟠((EXCLUSIVO SHOPEE 3️⃣)) @promo.damahii
120363143707072974@g.us,Promogrid Promoções
120363149769059495@g.us,Ofertas Meuapê26b #12
120363161708340515@g.us,Promoções do TEC #10
120363163396853096@g.us,PECHINCHAS DA CRIS 🧡🛍️#1
120363163765788187@g.us,BEE ACHADOS 
120363164673960479@g.us,#37 🛍💰Achadinhosdepromo💛
120363175659452536@g.us,Guia de Compras 218
120363181073798725@g.us,Caçador de Promoções
120363189435524916@g.us,Grupo de Achadinhos #1
120363194117835533@g.us,Oferta relâmpago #1
120363194368630513@g.us,Paraíso dos Achadinhos #1
120363203099815703@g.us,
120363205270613720@g.us,aki promoções - 91
120363211822083052@g.us,#103 ACHADOS DA TAMY 
120363214895946203@g.us,Promos e dicas da Jô #3
120363216036692625@g.us,A PROMO IMPERDÍVEL 25 🛍️✨
120363240039368305@g.us,
120363255308049173@g.us,PROMO LOVERS 🛍️  #14
120363255744314530@g.us,PROMO 42 🧜🏼‍♀️💘🛍️
120363257853840248@g.us,ACHADINHO 🛍️ #16
120363259849668352@g.us,#1 Achadinhos da Dona Cegonha
120363264369239306@g.us,
120363268951341273@g.us,LINKS DO SONNORA - ABERTO
120363282575321817@g.us,Manual de Ofertas - Eletrônicos
120363282994185499@g.us,65 • VIP GATAS DAS PROMO 💜
120363284097344284@g.us,PROMOÇÕES DO DIA ✨️ #2 - @promochique_
120363284305529966@g.us,Ofertas do dia #3 🛍️
120363287089062163@g.us,Promos Úteis 🛒 #2
120363291785904750@g.us,PROMOS & ACHADINHOS
120363299458437089@g.us,
120363300770580053@g.us,#5 Achadinhos Casa e Decoração
120363301686660904@g.us,Achados da Lully 15
120363303356244825@g.us,"#31 Promos de Moda, Beleza e Cupons! - Promoções do Amor!"
120363304479657290@g.us,"#30 Achadinhos SHOPEE, SHEIN , MAGALU, MERCADO LIVRE.🥰"
120363305435482675@g.us,🚨 PROMOÇÃO DO DIA 💸
120363308553839701@g.us,#14 PromoBabykids
120363309822468517@g.us,🔥 PROMOS da Paty #01
120363313233209159@g.us,
120363313981293549@g.us,✨️ PROMOS DA TAMI #4
120363315780159714@g.us,Especialista em TI #11
120363315890635206@g.us,"UduLuiz VII - Cupons e ofertas: Shopee, Shein, Aliexpress, Mercado Livre "
120363317793995123@g.us,PROMOÇÕES & CUPONS 💖✨ #1
120363319331322278@g.us,Cout 09 🇧🇷 Promoções e Info
120363320142761904@g.us,Achados da Lully 14
120363321169457130@g.us,#193 Grupo Vip de Ofertas 🛒‼️
120363322668685309@g.us,PROMOÇÕES DO DIA 🔥✨️🛍
120363332754970042@g.us,🛒 Achados da Lalá Grupo #3
120363333636263540@g.us,Comunidade Moto Filé
120363334175814779@g.us,MILPROMOSBELEZA
120363337798994308@g.us,✨Cacei e Achei Promos #13
120363338201617945@g.us,
120363339148867926@g.us,😱 Promoções e Cupons 🔥
120363345172019197@g.us,MESDEPROMO #23
120363345207333317@g.us,Best Promos BR #3
120363345347123184@g.us,MESDEPROMO #25
120363345371177921@g.us,Ofertas Encontrei - #15 🛍️
120363346159033547@g.us,Tudo Em Microfones GRUPO 5
120363349640197468@g.us,#2 PROMOÇÃO DO DIA | Achados da Isa 🚨
120363349755106375@g.us,Promos da Ly #3✨
120363357316589084@g.us,#5 PROMO ENXOVAL MINIMALISTA 🖤
120363359675161184@g.us,Grupo de Ofertas Clube A Gazeta
120363360743146571@g.us,15# PROMO DE HOJEE 💜
120363362432979590@g.us,
120363366983997934@g.us,CLUBE DO DESCONTO #13
120363369774997231@g.us,#5 PROMOÇÕES E DESCONTOS 🛍️🤑
120363370434273635@g.us,GRUPO DE PROMOÇÕES #04
120363370457877935@g.us,NintendoBarato.com.br #17
120363371094763419@g.us,Grupo de Promoções e Cupons 🛍️ #05
120363371612559096@g.us,💥 Top Ofertas Shopee 💥 #2
120363372624489235@g.us,Achadinhos da Becca 🛍Promos e Achados💞
120363374069243700@g.us,
120363374978952930@g.us,PROMOÇÕES DO DIA 🛍️ #1 - @encontreiamigas
120363375274156165@g.us,G&L Promoções 50 🛍️🛒
120363375425910325@g.us,0005 Clube Promos 21
120363382104653898@g.us,"Mãe, Economizei! Promos e Cupons"
120363384850142668@g.us,18.🔥PROMOS @thai.torel🔥
120363386279766722@g.us,Grupo de ofertinhas #08
120363386339295307@g.us,PROMOS DA DAY GRUPO 40🛍️
120363387456505120@g.us,PROMOÇÕES DO DIA #14
120363389602050961@g.us,Tudo On Promoções #3
120363398549946589@g.us,@ComprinhasAmiga #05✨
120363398603337247@g.us,
120363399236042514@g.us,
120363399351949538@g.us,PROMOÇÕES DO DIA 🛍️ #2 | @dicasdeachadinhos.br
120363399370982561@g.us,ACHADOS DA MARI #14
120363399506805862@g.us,
120363399607990876@g.us,ACHADOS DO DIA N 19
120363399706522399@g.us,Achados Promocionais  do mercado Livre.  😱
120363399844906080@g.us,
120363400056890494@g.us,PROMO 35 💗
120363400097540150@g.us,✨ Cantinho das Promos PV 7 🛍️
120363400195934769@g.us,
120363400217012012@g.us,
120363400410343531@g.us,Decorando_comestilo❤️
120363400583143688@g.us,
120363400740908232@g.us,Guga Aprova ✅ DESCONTOS - 20
120363401086852040@g.us,Promos da Seguidora 8
120363401098528133@g.us,Promoções do dia #14 🛍️ @baratinhosimperdiveis
120363401148418145@g.us,
120363401332922330@g.us,Doguinho Promoções 🐶#12
120363401640365822@g.us,Ofertas da Casa Moderna #43
120363402054165154@g.us,
120363402336804360@g.us,PROMOÇÕES DO DIA #11🥰
120363402471422115@g.us,Promos Danilo 4
120363402554611303@g.us,Indicações do Gui
120363402591177792@g.us,#27 Promoções Especialista Utilitário 
120363402621743664@g.us,ACHADOS DA RAINA #13
120363402704307025@g.us,@achadinhoscomcarol 🛍️ 14
120363402819489919@g.us,PROMOÇÕES E LINKS #61
120363402834675374@g.us,
120363403039157467@g.us,A PROMO PERFEITA 13✨
120363403071832784@g.us,Universo das Promos💖✨34
120363403112910209@g.us,Ofertas do Albergoni #014
120363403464946445@g.us,@Promoanabeltran 37 💖 Beleza
120363403742784724@g.us,ACHADOS DA MALU #16
120363403874724959@g.us,Grupo de Promoções & Descontos | Reduza
120363404034302766@g.us,SUPER OFERTA #17
120363404158477159@g.us,Encontrei na web promoções #62
120363404407621942@g.us,
120363404464469617@g.us,#6 PROMOS DO DIA ✨🛍
120363404907945469@g.us,Bizu das Promoções 53
120363405694449088@g.us,Dona Economia - Promoções #8
120363405900666065@g.us,Modas e Achadinhos #2
120363405956371502@g.us,PROMOS @bizu_paracasa #30
120363406581754161@g.us,PROMOS 45 💗
120363409693174877@g.us,
120363412367655025@g.us,
120363415815169004@g.us,Moda | Casa | Kids✨️17
120363416000560375@g.us,PROMOS DO DIA✨ #1
120363417307980084@g.us,PROMO DA LARI | 88 🛍️✨
120363417352116923@g.us,Kah Indica
120363417370308906@g.us,Promos do Guia Produto #1
120363417466781404@g.us,"#7 grupo - Bem-vinda ao universo feminino 💄- Vestindo bem, pagando pouco 🛍️💝🔗"
120363417550603528@g.us,
120363417580263185@g.us,Ela Compra 08 🩷✨
120363417825852787@g.us,Achadinhos da Vivih 💕 🛍️#39
120363417876663987@g.us,Home de Ofertas ✨🏠 | #38
120363417911970628@g.us,PROMOÇÕES DO DIA #27 🛍️ @achadosdatai.br
120363418307767899@g.us,Marcelo Casa Eletro OFERTAS
120363418317530167@g.us,Promos de Enxoval 🏡 #12
120363418371662864@g.us,2 SHEIN e C&A by @maryajcs 🛍️✨🤩
120363418615142188@g.us,PROMOÇÕES DO DIA #25 🛍️
120363418966938721@g.us,PROMOÇÕES DO DIA #26🏠 •  @homedeamiga
120363418973067820@g.us,
120363419008047565@g.us,Achadinhos das primas 💕🛍️#9#
120363419028851585@g.us,PROMOÇÕES DO DIA #65
120363419085408202@g.us,Achados de Lara #21
120363419173236822@g.us,Achadinhos Ofertou - 044
120363419283865832@g.us,🛍 Sergipe Ofertas #25
120363419320417112@g.us,
120363419447280501@g.us,
120363419523054853@g.us,GRUPÃO MUQUIRANAS#19
120363419634026933@g.us,
120363419687210237@g.us,Comprei na Promo #6
120363419852689903@g.us,
120363419889857402@g.us,PROMOÇÕES DO DIA ✨🛍️ #10 - @achadindeluxo
120363419919455192@g.us,
120363420198587286@g.us,#35 Grupo de Ofertas 
120363420299506385@g.us,PROMO DO DIA 🛍️ | #8 @focanacompra
120363420344287530@g.us,PROMOS DO DIA #02 @achadosginger
120363420368455839@g.us,ACHADINHOS DA DRI 15
120363420374537039@g.us,Promos da Mila #10
120363420438984365@g.us,Mi&Promo 🛍️💜 #8
120363420566637339@g.us,Só Promoções do dia #53
120363420720054769@g.us,PROMOS da IANNE 🧡16
120363420738577119@g.us,6 @promodegrife BELEZA
120363421005007885@g.us,Ofertas da Hora do Almoço 12🛍️
120363421326791569@g.us,20 - PEPERAIO HARDWARE OFERTAS
120363421328820167@g.us,Achadinhos #100
120363421606091189@g.us,Celulares-JersuOfertas-E4
120363421848512023@g.us,
120363421937223622@g.us,Grupo de ofertas 🛒🛍️ #27
120363422251666745@g.us,
120363422289956070@g.us,Achadinhos da Promo 2️⃣7️⃣
120363422438577046@g.us,
120363422790512114@g.us,Promos Enxoval - Gi 🏠 #13
120363422835195272@g.us,
120363422953295282@g.us,Fórmula Ideal Fit - [ 15 ]
120363423504328011@g.us,
120363423507395641@g.us,promoções para pobres #698
120363423620703537@g.us,[JTECH] Promoções Gamer #102
5511932062847-1609764830@g.us,Cupons e Ofertas #SuperDicas 🎟️🛒 #111
5511975835333-1625010636@g.us,Promo e Afins 6 💜
5516991076656-1507597082@g.us,
