aff_if,class_atual,tipo_link,link,id,name
1156678,Bronze,Grupo,https://chat.whatsapp.com/DPhMOhEaNGHGQ0zX6HKzbw,120363424523362434@g.us,#61 Grupo Vip Home & Ofertas
1156678,Bronze,Grupo,https://chat.whatsapp.com/LhEesLBny7XGu7XOrPOSq6,LINK QUEBRADO,LINK QUEBRADO
3573775,Bronze,Grupo,https://chat.whatsapp.com/B74jYLXhWTwJtf9mnGWsIX,120363422156415100@g.us,GARIMPOS FIT #4
4621837,Silver,Grupo,https://chat.whatsapp.com/BlTkcObNkq5EmBPFVb78Mv,120363419739565523@g.us,@achadinhoscomcarol 🛍️ 18
4621837,Silver,Grupo,https://chat.whatsapp.com/D2bmqI22nH555DlWj7aM3K,120363419894519525@g.us,@achadinhoscomcarol 🛍️ 15
4621837,Silver,Grupo,https://chat.whatsapp.com/GmI26OQ0F5i9LD8MXFa0L4,120363406856085615@g.us,@achadinhoscomcarol 🛍️ 20
4621837,Silver,Grupo,https://chat.whatsapp.com/IJRkxJnn0m92UrjuSlYdQA,120363402922533447@g.us,@achadinhoscomcarol 🛍️ 17
4621837,Silver,Grupo,https://chat.whatsapp.com/JbwgPy85SHPE8OwRXMyVqe,120363420785323453@g.us,@achadinhoscomcarol 🛍️ 19
6454024,Silver,Grupo,https://chat.whatsapp.com/FSFrucHSylmCoY6RrYP9DA,120363361699812635@g.us,Mulher Estilosa #31
8467064,Bronze,Canal,https://www.whatsapp.com/channel/0029VbBdHaXDDmFOwpEd5u0f,120363418735996273@newsletter,HUB das Ofertas
19468151,Silver,Grupo,https://chat.whatsapp.com/CSrJoCiWmbO7iynIOv6GgT,120363404567614012@g.us,"Indiquei Descontos ""Dia a Dia"" #3"
19468151,Silver,Grupo,https://chat.whatsapp.com/D9gOSSw2qwJLEReaXBNklY,120363422867721231@g.us,Indiquei Descontos “Automotivo” #4
19468151,Silver,Grupo,https://chat.whatsapp.com/E4hF8QbcKen6PTAIttYP2t,120363387827127363@g.us,"Indiquei Descontos ""Run/Fitness"" #1"
19468151,Silver,Grupo,https://chat.whatsapp.com/FX5vpiY6EYeFzI2AZR5tal,120363405959691199@g.us,"Indiquei Descontos ""Run/Fitness"" #4"
30107921,Bronze,Grupo,https://chat.whatsapp.com/KNG2idz9p0A7HhgKxDhj5E,120363223413458114@g.us,Links da Kah
44352982,Gold,Canal,https://www.whatsapp.com/channel/0029Vb6EHc1KmCPTwxvrbT10,120363398481030915@newsletter,PROMOÇÕES TJ GAMING
45185619,Bronze,Grupo,https://chat.whatsapp.com/HqjX04hPBuc5VzeJvLVJwY,5521983928913-1635937082@g.us,Espiã de Farmácia 5
47190880,Bronze,Grupo,https://chat.whatsapp.com/IglXEIKL0X6Fco4ika2iz5,120363339148867926@g.us,Promoções e Cupons #1🔥
47897711,Bronze,Grupo,https://chat.whatsapp.com/DiaQsENFguqJvobfT8ohim,120363287089062163@g.us,Promos Úteis 🛒 #2
47897711,Bronze,Grupo,https://chat.whatsapp.com/GgbR17qZjzdHsc2IkgU7lJ,120363401360942932@g.us,Promos Úteis da Fê 💜
47897711,Bronze,Grupo,https://chat.whatsapp.com/HXvXr90j74m113p6emEmPa,120363204374976453@g.us,Promos Úteis 🛒 #1
48673895,Bronze,Grupo,https://chat.whatsapp.com/CYbt8ShKE0CAT89gngsMpq,120363038405224186@g.us,TA BARATO TALITA 2
48673895,Bronze,Grupo,https://chat.whatsapp.com/DAwblwg1Vq05HUt3sggAiK,120363148075083232@g.us,SÓ PROMOÇÕES
48673895,Bronze,Grupo,https://chat.whatsapp.com/DWDwzf67UGk5aP5lHgfUdX,120363044186231507@g.us,#55Tá Barato Talita👩🏽‍💻HOMEN
48673895,Bronze,Grupo,https://chat.whatsapp.com/E5yThTSDBji1dAhY4aip0k,120363031137208954@g.us,TA BARATO TALITA
48673895,Bronze,Grupo,https://chat.whatsapp.com/FG8jMPybMgC5rNlcWr0NPI,120363150510929694@g.us,TA BARATO TALITA
48673895,Bronze,Grupo,https://chat.whatsapp.com/GPZB9ZRXoMR0YVJdRFWsko,120363314984070422@g.us,TA BARATO TALITA Perfumaria 
48673895,Bronze,Grupo,https://chat.whatsapp.com/GyhIqsJpPzp4PCN5QDPXOy,120363048755586249@g.us,TA BARATO TALITA Natura AVON🧴
48673895,Bronze,Grupo,https://chat.whatsapp.com/KkPe3I1QpGqJaxOyHa4PUr,5511971524576-1616427347@g.us,#26Ta Barato Talita👩🏽‍💻woman
48673895,Bronze,Grupo,https://chat.whatsapp.com/LtZzlIGNhuVByTZzHxaDeh,120363168150893813@g.us,TA BARATO TALITA 3
48673895,Bronze,Canal,https://whatsapp.com/channel/0029VaAjS53B4hdTFeuFFj21,120363186048805737@newsletter,Ta Barato Talita • só PRECINHO 🤑 CUPONS
51597294,Silver,Canal,https://whatsapp.com/channel/0029Var77uB9Gv7MiEk3zM0p,120363363220332210@newsletter,Cadeiras de Escritório Promoções
51908994,Bronze,Grupo,https://chat.whatsapp.com/JZRnJkTAZNtH0YXBg0QdmS,120363204406955026@g.us,Descontos e Promoções 🛍️
54685868,Silver,Grupo,https://chat.whatsapp.com/ByR4LiHfPZtIEZVDccJUBU,120363400958158475@g.us,Achados da Luki #6♥️
54685868,Silver,Grupo,https://chat.whatsapp.com/DOVgmUh6TL6B2AUDts2G7o,120363423502934703@g.us,Achados da Luki •12
54685868,Silver,Grupo,https://chat.whatsapp.com/DqGxOecCyYH2iiBeCUNTrk,120363421879565088@g.us,Achados da Luki•21🍁
54685868,Silver,Grupo,https://chat.whatsapp.com/FduHMOs6Ne8Fk4kZR3df2d,120363283479879257@g.us,Achados da Luki #1♥️
54685868,Silver,Grupo,https://chat.whatsapp.com/FWuq09P5lalAITxPROuT8C,120363404252049604@g.us,Achados da Luki•14🍁
54685868,Silver,Grupo,https://chat.whatsapp.com/GHPVVLZg1BJAs0xSDhoOzw,120363341081649669@g.us,Achados da Luki #3♥️
54685868,Silver,Grupo,https://chat.whatsapp.com/IgPrPrchI9C9YXs1BqqsxN,120363399183615820@g.us,Achados da Luki #5♥️
54685868,Silver,Grupo,https://chat.whatsapp.com/IHrJ6HeWzxhHAqW4dw7Q3G,120363371151052466@g.us,Achados da Luki #4♥️
54685868,Silver,Grupo,https://chat.whatsapp.com/IZKOCY2YspHKpIz5k8sDFr,120363405873233005@g.us,Achados da Luki•20🍁
54685868,Silver,Grupo,https://chat.whatsapp.com/KSxfXmjQaDTI14as3mXxbW,120363420835257590@g.us,AchadosdaLuki #9🍁
54887919,Bronze,Grupo,https://chat.whatsapp.com/BRi7hA0DnbXB1y8cQgNhKN,120363151010767632@g.us,Dicas da Jeni 3
54887919,Bronze,Grupo,https://chat.whatsapp.com/DfJMYWyaP9LAIS85qTgC8d,120363178105792622@g.us,Dicas da Jeni - 2
54887919,Bronze,Grupo,https://chat.whatsapp.com/Er9wT9GOimzFDXTFtntAwV,120363046536535595@g.us,Dicas da Jeni
54887919,Bronze,Grupo,https://chat.whatsapp.com/IDDcGwctMn9JjZu2LNEkvp,120363038992579912@g.us,Dicas da Jeni 4
59018115,Bronze,Grupo,https://chat.whatsapp.com/Jl7c2FyLSck7H9n8066kfB,120363423025571870@g.us,#25 Ofertas Baby | ÁREA VIP 🌟
75387792,Bronze,Canal,https://www.whatsapp.com/channel/0029VbBhzuQLtOj9cerbqT1R,120363422377299875@newsletter,Promoções Mind the Headphone
76331531,Gold,Grupo,https://chat.whatsapp.com/H1D0o274zFr9tn7j6zuXFu,120363295362974406@g.us,Especialista em TI #07
79957918,Bronze,Grupo,https://chat.whatsapp.com/Blf30ljQJrMHkJU9O95M1B,120363418908050091@g.us,Cuidados com a Mamãe by Dicas dos Papais
79957918,Bronze,Grupo,https://chat.whatsapp.com/KFBhBQzx1msGeI9ZSWBGYM,120363161835858247@g.us,Dicas dos Papais
81075199,Silver,Grupo,https://chat.whatsapp.com/BlrfW6AFLntL7AQf5MXk4X,120363421415542167@g.us,Ofertas e Cupons TALITA CAVALCANTE
81075199,Silver,Grupo,https://chat.whatsapp.com/FTlT2TnWWoaK4VBGLBiRhs,120363407799155633@g.us,Ofertas e Cupons TALITA CAVALCANTE #3
81075199,Silver,Grupo,https://chat.whatsapp.com/GQ8jYd30Zs281pZwjFj0wI,120363403942547939@g.us,Ofertas e Cupons TALITA CAVALCANTE #2
83215915,Bronze,Canal,https://www.whatsapp.com/channel/0029Va7jECnCcW4tZ15e8v1v,120363172116034295@newsletter,🔵 Como Clube
84848607,Bronze,Grupo,https://chat.whatsapp.com/KZqNKZ8s7LK8Qb1E7LLRLI,120363359734292336@g.us,𝟵𝟰 • 𝗣𝗥𝗢𝗠𝗢𝗦 𝗗𝗔 𝗞𝗘𝗜 🛍️
85783542,Bronze,Grupo,https://chat.whatsapp.com/D0BHUR4FcN268LsrdkU9ei,120363400319175050@g.us,#PROMOS E CUPONS PARA CICLISMO #3
85783542,Bronze,Grupo,https://chat.whatsapp.com/JSkVwbRqbMAK3ZmQi8SGRI,120363333967998063@g.us,#PROMOS E CUPONS PARA CICLISMO #1
85783542,Bronze,Grupo,https://chat.whatsapp.com/KdDOJ33gNav01vnAokWFCo,120363402477865005@g.us,#PROMOS E CUPONS PARA CICLISMO #2
85783542,Bronze,Grupo,https://chat.whatsapp.com/LIaCdgbeHeR8N4w7oY0yFs,120363401561323467@g.us,#PROMOS E CUPONS PARA CICLISMO #4
89888506,Gold,Canal,https://www.whatsapp.com/channel/0029Vb6r5APCRs1p922GQk3R,120363404182205052@newsletter,VACA OFERTAS
92792646,Silver,Grupo,https://chat.whatsapp.com/GQYzvIVqQqaHShsUod5G15,120363299357849522@g.us,Cout 02 🇧🇷 Promoções e Info
98661101,Silver,Grupo,https://chat.whatsapp.com/IP7vNMXAze68XRA2syTJc6,120363366092052337@g.us,Promoção Eng. Adriano Vanjura
99920305,Bronze,Grupo,https://chat.whatsapp.com/LaIT7T7Lnm61tYbSRXlwfi,120363184958449197@g.us,Ofertas - MB50
101062228,Bronze,Grupo,https://chat.whatsapp.com/BxcqkDDIOM5DsnpQCLct7y,120363195499423635@g.us,#100 GRUPO DE OFERTAS - DICAS DA DYANE
101062228,Bronze,Grupo,https://chat.whatsapp.com/HNbVMlI7xY959mtzT91tWU,120363225398524756@g.us,#101 GRUPO DE OFERTAS - DICAS DA DYANE
103593513,Silver,Grupo,https://chat.whatsapp.com/Bs0eTp3UgLP5B4XUuN5bce,120363424028991395@g.us,ISAAC 217 - VIP #06
103593513,Silver,Grupo,https://chat.whatsapp.com/BXq59cORgpfGQC5B5QnQ1b,120363405918931449@g.us,ISAAC 217 - VIP #09
103593513,Silver,Grupo,https://chat.whatsapp.com/CQmYHNIcbahAj6SVBSPVrt,120363402868302104@g.us,ISAAC 217 - VIP #04
103593513,Silver,Grupo,https://chat.whatsapp.com/D6hkWGoNmoa1JyY5Ona7MN,120363424023042488@g.us,ISAAC 217 - VIP #08
103593513,Silver,Grupo,https://chat.whatsapp.com/DDysjtFQtmI2UoINFU1uup,120363421998138374@g.us,ISAAC 217 - VIP #03
103593513,Silver,Grupo,https://chat.whatsapp.com/IIkAJYKhLHU8np2mykJe8J,120363404472850810@g.us,ISAAC 217 - VIP #10
103593513,Silver,Grupo,https://chat.whatsapp.com/IvPNvSlZaYWJqmVWURGWZS,120363423089550780@g.us,ISAAC 217 - VIP #07
103593513,Silver,Grupo,https://chat.whatsapp.com/IzJteA86USJ0J39ssXQUE1,120363404052592914@g.us,ISAAC 217 - VIP #02
103593513,Silver,Grupo,https://chat.whatsapp.com/Jk8OCozNcue8Mv0XoYUwtr,120363424374134643@g.us,ISAAC 217 - VIP #05
103593513,Silver,Grupo,https://chat.whatsapp.com/LmvqAwQpM7UEL15jDPJrNy,120363402497104577@g.us,ISAAC 217 - VIP #01
107916024,Bronze,Grupo,https://chat.whatsapp.com/IVpd2jrQu7NE3tWCpQdsEA,120363400077087250@g.us,[JTECH] Promoções Gamer #101
116913346,Bronze,Grupo,https://chat.whatsapp.com/E7dx90gbxYDATKFNFmB9cd,120363402837189497@g.us,Promos Lê Borges 2
116913346,Bronze,Grupo,https://chat.whatsapp.com/HM6ZWEDrIOWIJtATlEsYdN,120363420305187762@g.us,Promos Lê Borges
119153550,Bronze,Grupo,https://chat.whatsapp.com/H7b70IeJmt4JLhVwlTzXKt,120363422515347054@g.us,Só Promoções OFF do Dia 0️⃣8️⃣🛍️🛒
126659569,Bronze,Grupo,https://chat.whatsapp.com/KFCBOwt8UCJ7ohDqz5IQpq,120363419810622220@g.us,PROMOS DA MARCIOLIVER #6
127000419,Silver,Grupo,https://chat.whatsapp.com/86mCYAaUVRz414ge77kXEj,5519997134690-1537102299@g.us,Grupo Menor Preço 2
127000419,Silver,Grupo,https://chat.whatsapp.com/8csxE4cpAJECosjoil6ljT,5519997134690-1537541545@g.us,Grupo Menor Preço 3
127000419,Silver,Grupo,https://chat.whatsapp.com/93LXSioagaoBDor4zWvLNC,5519997134690-1535754083@g.us,Grupo Menor Preço 1
127417620,Silver,Grupo,https://chat.whatsapp.com/GJnYrne3KFxK2fapjnDcBm,120363422830340959@g.us,Achou Barato - Perfumes (15)
127417620,Silver,Grupo,https://chat.whatsapp.com/Jpt2VJMvm666nfc2zGCR21,120363404392710092@g.us,Achou Barato - Perfumes (13)
127813707,Bronze,Grupo,https://chat.whatsapp.com/IcXesEognoYBVkT3XgX3Uo,120363418144652632@g.us,Grupo de ofertas Maurilho Tech 🔥
129155745,Bronze,Grupo,https://chat.whatsapp.com/J3KuIi9m5FKHvjpTFp9xcx,120363405852001250@g.us,@comprandoemcasa VII
129429765,Gold,Grupo,https://chat.whatsapp.com/LcJ4nacBzODJ56u4VWXKpK,120363417831684690@g.us,@dicasdasaa 6
129772863,Silver,Grupo,https://chat.whatsapp.com/C4J7WY35sWX0yGsOtcEsg5,120363422832260672@g.us,FAFA ECONOMIZA 🧡 #61
129772863,Silver,Grupo,https://chat.whatsapp.com/EgkspEb3wfuCI6MpkiNaaY,120363422664593235@g.us,Promos e Cupons do dia ✨ 10 @achadoseconomyza
129772863,Silver,Canal,https://whatsapp.com/channel/0029Val1k356LwHr7oTw2e2D,120363339659670660@newsletter,Aqui Tem Pechincha | 🛒 Cupons | Achadinhos | Descontos e Promoções  🔥 Black Friday
129828195,Gold,Grupo,https://chat.whatsapp.com/EunVDudvQH3E4lZMDbNRVi,120363419609800993@g.us,PROMOS GERAL #42
133467538,Silver,Grupo,https://chat.whatsapp.com/BkiWamXMtRJBq0C81r5Daa,120363398096403384@g.us,🧡Dica da Mai🧡 Bugs | cupons e ofertas #19
133467538,Silver,Grupo,https://chat.whatsapp.com/BO5paSxftNg2oaH1yjpMQd,120363416712214557@g.us,🧡Dica da Mai🧡 Bugs | cupons e ofertas #18
133467538,Silver,Grupo,https://chat.whatsapp.com/BS66ClwRevPEs87P4lNc3C,120363423752428538@g.us,💜Dica da Mai💜 Bugs | cupons e ofertas #21
